Subject,StartTime,EndTime,Condition,Code,Duration
2138,2022-02-04 05:46:04am,2022-02-04 06:04:23am,neutral,22388151,18.316666666667
2162,2022-02-04 05:54:54am,2022-02-04 06:04:54am,neutral,33373103,10
2109,2022-02-04 05:48:29am,2022-02-04 06:05:05am,neutral,70917974,16.6
2153,2022-02-04 05:53:50am,2022-02-04 06:05:18am,neutral,93772026,11.466666666667
2113,2022-02-04 05:49:59am,2022-02-04 06:05:34am,neutral,33340109,15.583333333333
2069,2022-02-04 05:46:12am,2022-02-04 06:05:41am,neutral,73404652,19.483333333333
2175,2022-02-04 05:56:28am,2022-02-04 06:06:14am,neutral,72740561,9.7666666666667
2021,2022-02-04 05:43:53am,2022-02-04 06:06:21am,neutral,40000925,22.466666666667
2056,2022-02-04 05:46:00am,2022-02-04 06:06:24am,neutral,88803347,20.4
2154,2022-02-04 05:53:43am,2022-02-04 06:06:33am,neutral,77711804,12.833333333333
2192,2022-02-04 05:58:39am,2022-02-04 06:06:55am,neutral,51436926,8.2666666666667
2013,2022-02-04 05:44:29am,2022-02-04 06:07:07am,neutral,02325531,22.633333333333
2070,2022-02-04 05:47:03am,2022-02-04 06:07:21am,neutral,52586340,20.3
2127,2022-02-04 05:52:22am,2022-02-04 06:07:35am,neutral,06417057,15.216666666667
2022,2022-02-04 05:44:52am,2022-02-04 06:07:40am,neutral,46408587,22.8
2213,2022-02-04 06:03:16am,2022-02-04 06:07:45am,neutral,40604913,4.4833333333333
2174,2022-02-04 05:55:09am,2022-02-04 06:07:51am,neutral,66767355,12.7
2129,2022-02-04 05:52:26am,2022-02-04 06:08:14am,neutral,20665038,15.8
2071,2022-02-04 05:46:23am,2022-02-04 06:08:37am,neutral,25314288,22.233333333333
2150,2022-02-04 05:52:18am,2022-02-04 06:08:41am,neutral,88646531,16.383333333333
2077,2022-02-04 05:47:49am,2022-02-04 06:08:49am,neutral,47863298,21
